Player,Squad,Age,MP,Starts,Saves,Save%
Yazeed Abulaila,jo Jordan,33,3,3,8,50.0
Mahmoud Abunada,qa Qatar,26,3,3,12,54.5
Alisson,br Brazil,33,5,5,14,77.8
Benjamin Asare,gh Ghana,33,3,2,8,80.0
Patrick Beach,au Australia,22,4,4,14,82.4
Alireza Beiranvand,ir IR Iran,33,3,3,15,83.3
Yassine Bounou,ma Morocco,35,6,6,14,70.0
Uğurcan Çakır,tr Türkiye,30,3,3,8,61.5
Diogo Costa,pt Portugal,26,5,5,19,86.4
Thibaut Courtois,be Belgium,34,6,6,14,70.0
Maxime Crépeau,ca Canada,32,5,5,6,50.0
Max Crocombe,nz New Zealand,32,3,3,11,52.4
Mory Diaw,sn Senegal,32,3,2,4,57.1
Yahia Fofana,ci Côte d'Ivoire,25,4,4,9,69.2
Matt Freese,us USA,27,4,4,8,61.5
Hernán Galíndez,ec Ecuador,39,4,4,9,69.2
Orlando Gill,py Paraguay,26,5,5,23,79.3
Angus Gunn,sct Scotland,30,3,3,8,66.7
Gregor Kobel,ch Switzerland,28,6,6,20,76.9
Matej Kovar,cz Czechia,26,3,3,9,60.0
Dominik Livaković,hr Croatia,31,4,4,10,58.8
Mike Maignan,fr France,30,8,8,12,54.5
Emiliano Martínez,ar Argentina,33,8,8,20,71.4
Orlando Mosquera,pa Panama,31,3,3,7,63.6
Lionel Mpasi,cd Congo DR,31,4,4,14,73.7
Fernando Muslera,uy Uruguay,39,3,3,4,50.0
Manuel Neuer,de Germany,40,4,4,5,50.0
Ørjan Nyland,no Norway,35,5,5,15,68.2
Mohammed Al-Owais,sa Saudi Arabia,34,3,3,16,76.2
Jordan Pickford,eng England,32,7,7,15,65.2
Johny Placide,ht Haiti,38,3,3,11,57.9
Raúl Rangel,mx Mexico,26,5,5,8,72.7
Eloy Room,cw Curaçao,37,3,3,20,69.0
Alexander Schlager,at Austria,30,4,4,13,59.1
Kim Seung-gyu,kr Korea Republic,35,3,3,9,75.0
Mostafa Shobeir,eg Egypt,26,5,5,12,63.2
Unai Simón,es Spain,29,8,8,9,90.9
Zion Suzuki,jp Japan,23,4,4,12,70.6
Camilo Vargas,co Colombia,37,5,5,6,85.7
Nikola Vasilj,ba Bosnia–Herz,30,4,4,6,42.9
Bart Verbruggen,nl Netherlands,23,4,4,16,76.2
Vozinha,cv Cabo Verde,40,4,4,18,78.3
Ronwen Williams,za South Africa,34,4,4,11,73.3
Luca Zidane,dz Algeria,28,3,3,8,57.1
